"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ECA","Encana Corporation","11.15","10850335253.7","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eca",
"NDRO","Enduro Royalty Trust","3.25","107250000","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ndro",
"EGN","Energen Corporation","55.06","5351194295.08","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/egn",
"ETP","Energy Transfer Partners, L.P.","23.28","31868196188.88","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/etp",
"EXXI","Energy XXI Gulf Coast, Inc.","27.05","898373617.7","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/exxi",
"ENRJ","EnerJex Resources, Inc.","0.294","2476637.184","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/enrj",
"ERF","Enerplus Corporation","8.08","1956401875.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/erf",
"E","ENI S.p.A.","33.39","60672724084.35","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/e",
"ESV","ENSCO plc","7.74","2352961455.12","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/esv",
"ENSV","ENSERVCO Corporation","0.41","20937740.6","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/ensv",
"EOG","EOG Resources, Inc.","93.83","54165099601.8","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eog",
"EPE","EP Energy Corporation","4.54","1161016942.16","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/epe",
"EQT","EQT Corporation","56.16","9733426560","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eqt",
"ERN","Erin Energy Corp.","1.8","384132619.8","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ern",
"EVEP","EV Energy Partners, L.P.","1.09","53812067.21","n/a","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/evep",
"EPM","Evolution Petroleum Corporation, Inc.","8.35","276070179.95","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/epm",
"XCO","EXCO Resources NL","0.4029","114186786.6612","n/a","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/xco",
"XOG","Extraction Oil & Gas, Inc.","16.24","2790593985.2","n/a","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/xog",
"XOM","Exxon Mobil Corporation","82.55","349786267272.65","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/xom",
